Samples,profile_id,latitude,longitude,BD (g/cm3),SOC (g/kg),SOCD (kg/m2),upper_dept,lower_dept,Depth,DEM,NDVI,MAT,MAP,PET,AI,pH,Sand,Silt,Clay,CLCD,SOCD__meth,References,Year
7047,1994,27.43722222,109.7163889,1.23,17.2,6.35,40,70,55,274.73 ,0.56 ,17.06 ,103.54 ,1116.47 ,1.11 ,6.78 ,24.07 ,44.06 ,67.85 ,1,Measurement,"Liu et al., 2022",2014
7048,1994,27.43722222,109.7163889,1.58,5.1,5.64,70,140,105,274.73 ,0.56 ,17.06 ,103.54 ,1116.47 ,1.11 ,6.63 ,19.44 ,51.86 ,66.29 ,1,Measurement,"Liu et al., 2022",2014
7049,1995,28.38083333,112.6080556,0.85,26.4,2.92,0,13,6.5,66.36 ,0.58 ,17.38 ,113.21 ,1174.87 ,1.16 ,5.15 ,21.21 ,42.67 ,51.46 ,2,Measurement,"Liu et al., 2022",2014
7050,1995,28.38083333,112.6080556,1.14,20.2,1.84,13,21,17,66.36 ,0.58 ,17.38 ,113.21 ,1174.87 ,1.16 ,5.37 ,21.83 ,41.89 ,53.69 ,2,Measurement,"Liu et al., 2022",2014
7051,1995,28.38083333,112.6080556,1.22,15.1,2.76,21,36,28.5,66.36 ,0.58 ,17.38 ,113.21 ,1174.87 ,1.16 ,5.62 ,26.81 ,36.96 ,56.17 ,2,Measurement,"Liu et al., 2022",2014
7052,1995,28.38083333,112.6080556,1.36,10.5,4,36,64,50,66.36 ,0.58 ,17.38 ,113.21 ,1174.87 ,1.16 ,5.59 ,33.37 ,29.82 ,55.92 ,2,Measurement,"Liu et al., 2022",2014
7053,1995,28.38083333,112.6080556,1.4,9.7,3.12,64,87,75.5,66.36 ,0.58 ,17.38 ,113.21 ,1174.87 ,1.16 ,5.51 ,35.53 ,29.37 ,55.12 ,2,Measurement,"Liu et al., 2022",2014
7054,1995,28.38083333,112.6080556,1.35,7.1,4.31,87,132,109.5,66.36 ,0.58 ,17.38 ,113.21 ,1174.87 ,1.16 ,5.57 ,33.63 ,32.65 ,55.71 ,2,Measurement,"Liu et al., 2022",2014
7055,1996,28.38111111,113.8780556,1.28,11.59,1.93,0,13,6.5,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,5.16 ,48.53 ,29.02 ,51.57 ,2,Measurement,"Liu et al., 2022",2014
7056,1996,28.38111111,113.8780556,1.56,6.29,0.88,13,22,17.5,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,5.52 ,42.67 ,34.58 ,55.20 ,2,Measurement,"Liu et al., 2022",2014
7057,1996,28.38111111,113.8780556,1.66,4.89,1.46,22,40,31,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,5.94 ,42.02 ,33.91 ,59.41 ,2,Measurement,"Liu et al., 2022",2014
7058,1996,28.38111111,113.8780556,1.62,3.89,1.32,40,61,50.5,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,6.05 ,47.10 ,26.79 ,60.51 ,2,Measurement,"Liu et al., 2022",2014
7059,1996,28.38111111,113.8780556,1.66,3.19,1.01,61,80,70.5,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,5.99 ,46.94 ,25.87 ,59.89 ,2,Measurement,"Liu et al., 2022",2014
7060,1996,28.38111111,113.8780556,1.64,2.1,1.07,80,111,95.5,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,5.93 ,44.60 ,28.16 ,59.26 ,2,Measurement,"Liu et al., 2022",2014
7061,1996,28.38111111,113.8780556,1.61,1.5,0.46,111,130,120.5,118.29 ,0.66 ,17.24 ,121.83 ,1234.00 ,1.18 ,5.93 ,44.34 ,29.15 ,59.33 ,2,Measurement,"Liu et al., 2022",2014
7062,1997,29.6732,111.7229,1.14,13.5,2.31,0,15,7.5,39.00 ,0.57 ,17.07 ,99.63 ,1216.00 ,0.98 ,6.73 ,7.79 ,59.19 ,67.29 ,1,Measurement,"Liu et al., 2022",2014
7063,1997,29.6732,111.7229,1.46,7.2,1.05,15,25,20,39.00 ,0.57 ,17.07 ,99.63 ,1216.00 ,0.98 ,6.92 ,10.08 ,59.54 ,69.22 ,1,Measurement,"Liu et al., 2022",2014
7064,1997,29.6732,111.7229,1.66,3.9,2.27,25,60,42.5,39.00 ,0.57 ,17.07 ,99.63 ,1216.00 ,0.98 ,7.25 ,14.07 ,56.80 ,72.47 ,1,Measurement,"Liu et al., 2022",2014
7065,1997,29.6732,111.7229,1.54,3.5,1.62,60,90,75,39.00 ,0.57 ,17.07 ,99.63 ,1216.00 ,0.98 ,7.36 ,13.85 ,49.19 ,73.64 ,1,Measurement,"Liu et al., 2022",2014
7066,1997,29.6732,111.7229,1.57,3.6,2.26,90,130,110,39.00 ,0.57 ,17.07 ,99.63 ,1216.00 ,0.98 ,7.33 ,11.49 ,50.59 ,73.33 ,1,Measurement,"Liu et al., 2022",2014
7067,1998,26.97402778,112.3355,1.02,4,0.73,0,18,9,74.75 ,0.49 ,18.44 ,117.09 ,1198.49 ,1.17 ,6.06 ,16.63 ,50.31 ,60.55 ,1,Measurement,"Liu et al., 2022",2014
7068,1998,26.97402778,112.3355,1.51,8.8,0.93,18,25,21.5,74.75 ,0.49 ,18.44 ,117.09 ,1198.49 ,1.17 ,6.19 ,17.36 ,51.43 ,61.91 ,1,Measurement,"Liu et al., 2022",2014
7069,1998,26.97402778,112.3355,1.74,4.1,3.21,25,70,47.5,74.75 ,0.49 ,18.44 ,117.09 ,1198.49 ,1.17 ,6.39 ,18.54 ,50.20 ,63.92 ,1,Measurement,"Liu et al., 2022",2014
7070,1998,26.97402778,112.3355,1.69,21.2,6.45,70,88,79,74.75 ,0.49 ,18.44 ,117.09 ,1198.49 ,1.17 ,6.50 ,20.12 ,47.99 ,65.04 ,1,Measurement,"Liu et al., 2022",2014
7071,1998,26.97402778,112.3355,1.67,4.6,3.23,88,130,109,74.75 ,0.49 ,18.44 ,117.09 ,1198.49 ,1.17 ,6.48 ,19.70 ,48.02 ,64.81 ,1,Measurement,"Liu et al., 2022",2014
7072,1999,26.62069444,110.7386389,0.92,33,4.55,0,15,7.5,403.00 ,0.56 ,16.83 ,118.50 ,1130.00 ,1.26 ,6.20 ,14.10 ,53.40 ,61.97 ,1,Measurement,"Liu et al., 2022",2014
7073,1999,26.62069444,110.7386389,1.26,21,2.38,15,24,19.5,403.00 ,0.56 ,16.83 ,118.50 ,1130.00 ,1.26 ,6.29 ,15.98 ,52.97 ,62.87 ,1,Measurement,"Liu et al., 2022",2014
7074,1999,26.62069444,110.7386389,1.2,21.6,4.92,24,43,33.5,403.00 ,0.56 ,16.83 ,118.50 ,1130.00 ,1.26 ,6.42 ,18.96 ,48.41 ,64.19 ,1,Measurement,"Liu et al., 2022",2014
7075,1999,26.62069444,110.7386389,1.16,21.4,6.7,43,70,56.5,403.00 ,0.56 ,16.83 ,118.50 ,1130.00 ,1.26 ,6.46 ,19.49 ,44.16 ,64.59 ,1,Measurement,"Liu et al., 2022",2014
7076,1999,26.62069444,110.7386389,1.38,7.8,2.69,70,95,82.5,403.00 ,0.56 ,16.83 ,118.50 ,1130.00 ,1.26 ,6.48 ,14.45 ,52.74 ,64.81 ,1,Measurement,"Liu et al., 2022",2014
7077,1999,26.62069444,110.7386389,1.4,9.4,6.58,95,145,120,403.00 ,0.56 ,16.83 ,118.50 ,1130.00 ,1.26 ,6.44 ,11.70 ,56.83 ,64.44 ,1,Measurement,"Liu et al., 2022",2014
7078,2000,27.70877778,111.9387222,0.9,37.2,4.02,0,12,6,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.28 ,22.12 ,47.02 ,62.79 ,1,Measurement,"Liu et al., 2022",2014
7079,2000,27.70877778,111.9387222,1.24,21.6,2.14,12,20,16,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.45 ,22.43 ,46.99 ,64.51 ,1,Measurement,"Liu et al., 2022",2014
7080,2000,27.70877778,111.9387222,1.52,20.5,3.12,20,30,25,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.55 ,21.63 ,48.80 ,65.48 ,1,Measurement,"Liu et al., 2022",2014
7081,2000,27.70877778,111.9387222,1.58,10,3.16,30,50,40,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.58 ,24.93 ,42.29 ,65.85 ,1,Measurement,"Liu et al., 2022",2014
7082,2000,27.70877778,111.9387222,1.5,9.6,4.32,50,80,65,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.58 ,24.51 ,43.05 ,65.76 ,1,Measurement,"Liu et al., 2022",2014
7083,2000,27.70877778,111.9387222,1.5,6.3,2.84,80,110,95,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.55 ,19.15 ,53.97 ,65.53 ,1,Measurement,"Liu et al., 2022",2014
7084,2000,27.70877778,111.9387222,1.65,4.48,2.22,110,140,125,172.25 ,0.51 ,17.70 ,115.97 ,1182.88 ,1.18 ,6.50 ,19.74 ,53.65 ,64.95 ,1,Measurement,"Liu et al., 2022",2014
7085,2001,26.98501306,111.6841064,0.96,23.5,4.51,0,20,10,362.03 ,0.46 ,17.03 ,116.64 ,1143.69 ,1.22 ,4.81 ,22.39 ,42.88 ,48.14 ,2,Measurement,"Liu et al., 2022",2014
7086,2001,26.98501306,111.6841064,1.26,14.1,1.78,20,30,25,362.03 ,0.46 ,17.03 ,116.64 ,1143.69 ,1.22 ,4.78 ,22.79 ,41.78 ,47.83 ,2,Measurement,"Liu et al., 2022",2014
7087,2001,26.98501306,111.6841064,1.32,5.8,3.06,30,70,50,362.03 ,0.46 ,17.03 ,116.64 ,1143.69 ,1.22 ,4.92 ,23.60 ,39.83 ,49.24 ,2,Measurement,"Liu et al., 2022",2014
7088,2001,26.98501306,111.6841064,1.45,4.5,3.92,70,130,100,362.03 ,0.46 ,17.03 ,116.64 ,1143.69 ,1.22 ,5.18 ,20.81 ,41.45 ,51.81 ,2,Measurement,"Liu et al., 2022",2014
7089,2002,27.748,113.437,1.19,21.9,3.39,0,13,6.5,72.73 ,0.46 ,17.56 ,121.25 ,1194.00 ,1.22 ,5.48 ,31.10 ,38.09 ,54.76 ,3,Measurement,"Liu et al., 2022",2014
7090,2002,27.748,113.437,1.44,7.16,1.03,13,23,18,72.73 ,0.46 ,17.56 ,121.25 ,1194.00 ,1.22 ,5.60 ,32.58 ,37.55 ,55.99 ,3,Measurement,"Liu et al., 2022",2014
7091,2002,27.748,113.437,1.55,10.8,1.67,23,33,28,72.73 ,0.46 ,17.56 ,121.25 ,1194.00 ,1.22 ,5.74 ,33.74 ,36.96 ,57.39 ,3,Measurement,"Liu et al., 2022",2014
7092,2002,27.748,113.437,1.5,5.7,1.71,33,53,43,72.73 ,0.46 ,17.56 ,121.25 ,1194.00 ,1.22 ,5.99 ,35.30 ,31.77 ,59.88 ,3,Measurement,"Liu et al., 2022",2014
7093,2002,27.748,113.437,1.42,2.7,0.84,53,75,64,72.73 ,0.46 ,17.56 ,121.25 ,1194.00 ,1.22 ,6.15 ,34.29 ,32.04 ,61.51 ,3,Measurement,"Liu et al., 2022",2014
7094,2002,27.748,113.437,1.61,1.9,1.68,75,130,102.5,72.73 ,0.46 ,17.56 ,121.25 ,1194.00 ,1.22 ,6.15 ,30.81 ,39.76 ,61.46 ,3,Measurement,"Liu et al., 2022",2014
7095,2003,26.76280222,111.8782975,0.9,38,6.16,0,18,9,142.35 ,0.63 ,18.04 ,114.50 ,1168.00 ,1.18 ,6.39 ,15.83 ,45.19 ,63.93 ,1,Measurement,"Liu et al., 2022",2014
7096,2003,26.76280222,111.8782975,1.24,26,3.87,18,30,24,142.35 ,0.63 ,18.04 ,114.50 ,1168.00 ,1.18 ,6.51 ,14.18 ,51.28 ,65.12 ,1,Measurement,"Liu et al., 2022",2014
7097,2003,26.76280222,111.8782975,1.29,14.7,7.02,30,67,48.5,142.35 ,0.63 ,18.04 ,114.50 ,1168.00 ,1.18 ,6.62 ,18.50 ,42.03 ,66.23 ,1,Measurement,"Liu et al., 2022",2014
7098,2003,26.76280222,111.8782975,1.39,6.9,3.64,67,105,86,142.35 ,0.63 ,18.04 ,114.50 ,1168.00 ,1.18 ,6.58 ,16.88 ,52.43 ,65.79 ,1,Measurement,"Liu et al., 2022",2014
7099,2003,26.76280222,111.8782975,1.48,7.4,2.19,105,125,115,142.35 ,0.63 ,18.04 ,114.50 ,1168.00 ,1.18 ,6.53 ,14.99 ,58.30 ,65.25 ,1,Measurement,"Liu et al., 2022",2014
7100,2004,28.30416667,113.2613889,0.92,23,4.66,0,22,11,65.21 ,0.61 ,17.35 ,117.00 ,1185.00 ,1.18 ,5.60 ,27.32 ,40.59 ,55.98 ,3,Measurement,"Liu et al., 2022",2014
7101,2004,28.30416667,113.2613889,1.57,10.29,1.13,22,29,25.5,65.21 ,0.61 ,17.35 ,117.00 ,1185.00 ,1.18 ,5.95 ,29.55 ,38.64 ,59.46 ,3,Measurement,"Liu et al., 2022",2014
7102,2004,28.30416667,113.2613889,1.61,5.6,2.79,29,60,44.5,65.21 ,0.61 ,17.35 ,117.00 ,1185.00 ,1.18 ,6.11 ,34.30 ,28.09 ,61.10 ,3,Measurement,"Liu et al., 2022",2014
7103,2004,28.30416667,113.2613889,1.45,6.2,1.98,60,82,71,65.21 ,0.61 ,17.35 ,117.00 ,1185.00 ,1.18 ,6.22 ,39.26 ,23.45 ,62.22 ,3,Measurement,"Liu et al., 2022",2014
7104,2004,28.30416667,113.2613889,1.62,5.1,3.97,82,130,106,65.21 ,0.61 ,17.35 ,117.00 ,1185.00 ,1.18 ,6.29 ,41.95 ,25.93 ,62.94 ,3,Measurement,"Liu et al., 2022",2014
7105,2005,28.30417,113.2614,1.53,2.66,0.2,130,135,132.5,65.17 ,0.61 ,17.35 ,117.00 ,1185.00 ,1.18 ,6.29 ,42.97 ,25.74 ,62.91 ,3,Measurement,"Liu et al., 2022",2014
7106,2006,29.05722222,112.3519444,1.5,11.8,3.19,0,18,9,31.00 ,0.50 ,17.23 ,107.08 ,1187.00 ,1.08 ,7.15 ,14.55 ,57.14 ,71.48 ,1,Measurement,"Liu et al., 2022",2014
7107,2006,29.05722222,112.3519444,1.53,9.4,1.01,18,25,21.5,31.00 ,0.50 ,17.23 ,107.08 ,1187.00 ,1.08 ,7.38 ,14.70 ,56.51 ,73.83 ,1,Measurement,"Liu et al., 2022",2014
7108,2006,29.05722222,112.3519444,1.47,10.7,2.36,25,40,32.5,31.00 ,0.50 ,17.23 ,107.08 ,1187.00 ,1.08 ,7.48 ,15.80 ,55.17 ,74.80 ,1,Measurement,"Liu et al., 2022",2014
7109,2006,29.05722222,112.3519444,1.31,11.3,2.96,40,60,50,31.00 ,0.50 ,17.23 ,107.08 ,1187.00 ,1.08 ,7.47 ,18.34 ,52.59 ,74.69 ,1,Measurement,"Liu et al., 2022",2014
7110,2006,29.05722222,112.3519444,1.58,8.9,3.94,60,88,74,31.00 ,0.50 ,17.23 ,107.08 ,1187.00 ,1.08 ,7.41 ,19.57 ,54.01 ,74.12 ,1,Measurement,"Liu et al., 2022",2014
7111,2006,29.05722222,112.3519444,1.29,7.5,3.1,88,120,104,31.00 ,0.50 ,17.23 ,107.08 ,1187.00 ,1.08 ,7.40 ,19.61 ,56.32 ,74.03 ,1,Measurement,"Liu et al., 2022",2014
7112,2007,28.44527778,112.6955556,1,22.8,2.74,0,12,6,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,5.23 ,28.42 ,35.06 ,52.25 ,1,Measurement,"Liu et al., 2022",2014
7113,2007,28.44527778,112.6955556,1.38,16.8,1.39,12,18,15,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,5.44 ,28.61 ,36.12 ,54.40 ,1,Measurement,"Liu et al., 2022",2014
7114,2007,28.44527778,112.6955556,1.59,7.2,1.95,18,35,26.5,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,5.87 ,31.40 ,33.35 ,58.72 ,1,Measurement,"Liu et al., 2022",2014
7115,2007,28.44527778,112.6955556,1.57,5.8,1.27,35,49,42,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,6.09 ,34.77 ,29.31 ,60.87 ,1,Measurement,"Liu et al., 2022",2014
7116,2007,28.44527778,112.6955556,1.5,3,0.68,49,64,56.5,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,6.16 ,36.45 ,27.58 ,61.65 ,1,Measurement,"Liu et al., 2022",2014
7117,2007,28.44527778,112.6955556,1.41,3,1.52,64,100,82,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,6.31 ,37.29 ,27.74 ,63.12 ,1,Measurement,"Liu et al., 2022",2014
7118,2007,28.44527778,112.6955556,1.36,3,1.22,100,130,115,39.00 ,0.50 ,17.50 ,113.00 ,1185.00 ,1.14 ,6.33 ,38.43 ,26.61 ,63.34 ,1,Measurement,"Liu et al., 2022",2014
7119,2008,27.787,112.898,1.21,20.2,3.67,0,15,7.5,36.00 ,0.55 ,17.89 ,118.08 ,1192.00 ,1.19 ,5.59 ,22.87 ,47.62 ,55.92 ,2,Measurement,"Liu et al., 2022",2014
7120,2008,27.787,112.898,1.33,19.2,2.55,15,25,20,36.00 ,0.55 ,17.89 ,118.08 ,1192.00 ,1.19 ,5.93 ,22.52 ,48.97 ,59.27 ,2,Measurement,"Liu et al., 2022",2014
7121,2008,27.787,112.898,1.54,14.9,2.29,25,35,30,36.00 ,0.55 ,17.89 ,118.08 ,1192.00 ,1.19 ,6.18 ,23.46 ,48.53 ,61.78 ,2,Measurement,"Liu et al., 2022",2014
7122,2008,27.787,112.898,1.16,23.8,4.69,35,52,43.5,36.00 ,0.55 ,17.89 ,118.08 ,1192.00 ,1.19 ,6.30 ,27.82 ,42.80 ,63.02 ,2,Measurement,"Liu et al., 2022",2014
7123,2008,27.787,112.898,1.58,7.7,4.01,52,85,68.5,36.00 ,0.55 ,17.89 ,118.08 ,1192.00 ,1.19 ,6.38 ,28.87 ,43.06 ,63.85 ,2,Measurement,"Liu et al., 2022",2014
7124,2008,27.787,112.898,1.52,6.2,4.24,85,130,107.5,36.00 ,0.55 ,17.89 ,118.08 ,1192.00 ,1.19 ,6.35 ,27.10 ,48.05 ,63.54 ,2,Measurement,"Liu et al., 2022",2014
7125,2009,26.89172222,111.2714444,1.43,15.6,4.02,0,18,9,273.49 ,0.63 ,17.27 ,114.00 ,1147.18 ,1.19 ,6.24 ,8.67 ,52.87 ,62.44 ,1,Measurement,"Liu et al., 2022",2014
7126,2009,26.89172222,111.2714444,1.46,11.3,1.32,18,26,22,273.49 ,0.63 ,17.27 ,114.00 ,1147.18 ,1.19 ,6.37 ,10.88 ,54.51 ,63.66 ,1,Measurement,"Liu et al., 2022",2014
7127,2009,26.89172222,111.2714444,1.68,8.8,2.07,26,40,33,273.49 ,0.63 ,17.27 ,114.00 ,1147.18 ,1.19 ,6.42 ,13.91 ,51.14 ,64.16 ,1,Measurement,"Liu et al., 2022",2014
7128,2009,26.89172222,111.2714444,1.72,5.6,1.44,40,55,47.5,273.49 ,0.63 ,17.27 ,114.00 ,1147.18 ,1.19 ,6.43 ,16.81 ,44.27 ,64.34 ,1,Measurement,"Liu et al., 2022",2014
7129,2009,26.89172222,111.2714444,1.69,3.59,1.52,55,80,67.5,273.49 ,0.63 ,17.27 ,114.00 ,1147.18 ,1.19 ,6.45 ,15.83 ,47.77 ,64.55 ,1,Measurement,"Liu et al., 2022",2014
7130,2009,26.89172222,111.2714444,1.65,4.89,4.03,80,130,105,273.49 ,0.63 ,17.27 ,114.00 ,1147.18 ,1.19 ,6.50 ,13.77 ,55.88 ,65.00 ,1,Measurement,"Liu et al., 2022",2014
7131,2010,26.74502778,112.1368611,0.91,26.7,3.64,0,15,7.5,118.46 ,0.53 ,18.29 ,116.42 ,1184.00 ,1.18 ,6.46 ,20.19 ,45.14 ,64.65 ,1,Measurement,"Liu et al., 2022",2014
7132,2010,26.74502778,112.1368611,1.3,15.7,2.04,15,25,20,118.46 ,0.53 ,18.29 ,116.42 ,1184.00 ,1.18 ,6.51 ,19.25 ,47.75 ,65.10 ,1,Measurement,"Liu et al., 2022",2014
7133,2010,26.74502778,112.1368611,1.48,10.9,5.32,25,58,41.5,118.46 ,0.53 ,18.29 ,116.42 ,1184.00 ,1.18 ,6.68 ,19.72 ,45.12 ,66.80 ,1,Measurement,"Liu et al., 2022",2014
7134,2010,26.74502778,112.1368611,1.62,5.3,3.61,58,100,79,118.46 ,0.53 ,18.29 ,116.42 ,1184.00 ,1.18 ,6.75 ,18.62 ,49.77 ,67.51 ,1,Measurement,"Liu et al., 2022",2014
7135,2010,26.74502778,112.1368611,1.73,2.3,1.59,100,140,120,118.46 ,0.53 ,18.29 ,116.42 ,1184.00 ,1.18 ,6.70 ,17.08 ,54.00 ,67.02 ,1,Measurement,"Liu et al., 2022",2014
7136,2011,29.09166667,113.5705556,1.13,20.9,2.36,0,10,5,202.03 ,0.71 ,16.83 ,115.98 ,1212.12 ,1.15 ,5.26 ,27.71 ,47.28 ,52.64 ,2,Measurement,"Liu et al., 2022",2014
7137,2011,29.09166667,113.5705556,1.17,17.8,1.67,10,18,14,202.03 ,0.71 ,16.83 ,115.98 ,1212.12 ,1.15 ,5.32 ,30.16 ,45.19 ,53.25 ,2,Measurement,"Liu et al., 2022",2014
7138,2011,29.09166667,113.5705556,1.49,7.4,2.21,18,38,28,202.03 ,0.71 ,16.83 ,115.98 ,1212.12 ,1.15 ,5.54 ,31.89 ,43.11 ,55.42 ,2,Measurement,"Liu et al., 2022",2014
7139,2011,29.09166667,113.5705556,1.45,5.1,2.74,38,75,56.5,202.03 ,0.71 ,16.83 ,115.98 ,1212.12 ,1.15 ,5.78 ,28.29 ,45.28 ,57.80 ,2,Measurement,"Liu et al., 2022",2014
7140,2011,29.09166667,113.5705556,1.56,5.3,2.07,75,100,87.5,202.03 ,0.71 ,16.83 ,115.98 ,1212.12 ,1.15 ,5.84 ,26.40 ,46.23 ,58.37 ,2,Measurement,"Liu et al., 2022",2014
7141,2011,29.09166667,113.5705556,1.46,3.8,2.22,100,140,120,202.03 ,0.71 ,16.83 ,115.98 ,1212.12 ,1.15 ,5.84 ,26.02 ,46.04 ,58.36 ,2,Measurement,"Liu et al., 2022",2014
7142,2012,28.34638889,110.3841667,1.11,22.7,3.02,0,12,6,149.35 ,0.57 ,17.03 ,115.56 ,1145.46 ,1.21 ,6.13 ,14.61 ,51.64 ,61.31 ,1,Measurement,"Liu et al., 2022",2014
7143,2012,28.34638889,110.3841667,1.22,17.5,2.14,12,22,17,149.35 ,0.57 ,17.03 ,115.56 ,1145.46 ,1.21 ,6.31 ,17.30 ,50.84 ,63.13 ,1,Measurement,"Liu et al., 2022",2014
7144,2012,28.34638889,110.3841667,1.33,12.4,3.63,22,44,33,149.35 ,0.57 ,17.03 ,115.56 ,1145.46 ,1.21 ,6.52 ,19.02 ,50.55 ,65.23 ,1,Measurement,"Liu et al., 2022",2014
7145,2012,28.34638889,110.3841667,1.42,12.9,4.76,44,70,57,149.35 ,0.57 ,17.03 ,115.56 ,1145.46 ,1.21 ,6.54 ,22.47 ,46.06 ,65.38 ,1,Measurement,"Liu et al., 2022",2014
7146,2012,28.34638889,110.3841667,1.43,12.4,3.9,70,92,81,149.35 ,0.57 ,17.03 ,115.56 ,1145.46 ,1.21 ,6.58 ,20.88 ,49.70 ,65.80 ,1,Measurement,"Liu et al., 2022",2014
7147,2013,28.24833333,113.4197222,1.29,13.89,3.22,0,18,9,62.18 ,0.62 ,17.47 ,118.50 ,1207.00 ,1.18 ,5.61 ,29.86 ,39.72 ,56.11 ,2,Measurement,"Liu et al., 2022",2014
7148,2013,28.24833333,113.4197222,1.4,11.49,1.29,18,26,22,62.18 ,0.62 ,17.47 ,118.50 ,1207.00 ,1.18 ,5.88 ,30.19 ,41.65 ,58.78 ,2,Measurement,"Liu et al., 2022",2014
7149,2013,28.24833333,113.4197222,1.34,10.29,2.34,26,43,34.5,62.18 ,0.62 ,17.47 ,118.50 ,1207.00 ,1.18 ,6.15 ,35.44 ,35.08 ,61.49 ,2,Measurement,"Liu et al., 2022",2014
7150,2013,28.24833333,113.4197222,1.54,4,2.16,43,78,60.5,62.18 ,0.62 ,17.47 ,118.50 ,1207.00 ,1.18 ,6.45 ,44.96 ,21.71 ,64.53 ,2,Measurement,"Liu et al., 2022",2014
7151,2013,28.24833333,113.4197222,1.62,1.8,0.41,78,92,85,62.18 ,0.62 ,17.47 ,118.50 ,1207.00 ,1.18 ,6.58 ,44.08 ,24.06 ,65.82 ,2,Measurement,"Liu et al., 2022",2014
7152,2013,28.24833333,113.4197222,1.45,1.8,0.99,92,130,111,62.18 ,0.62 ,17.47 ,118.50 ,1207.00 ,1.18 ,6.62 ,39.67 ,29.52 ,66.17 ,2,Measurement,"Liu et al., 2022",2014
7153,2014,29.45027778,112.2005556,1.12,17.6,2.96,0,15,7.5,33.00 ,0.46 ,17.07 ,102.45 ,1195.11 ,1.03 ,7.29 ,17.37 ,58.31 ,72.86 ,1,Measurement,"Liu et al., 2022",2014
7154,2014,29.45027778,112.2005556,1.48,13.4,1.59,15,23,19,33.00 ,0.46 ,17.07 ,102.45 ,1195.11 ,1.03 ,7.36 ,22.48 ,56.32 ,73.56 ,1,Measurement,"Liu et al., 2022",2014
7155,2014,29.45027778,112.2005556,1.31,3.3,2.03,23,70,46.5,33.00 ,0.46 ,17.07 ,102.45 ,1195.11 ,1.03 ,7.58 ,27.64 ,53.89 ,75.81 ,1,Measurement,"Liu et al., 2022",2014
7156,2014,29.45027778,112.2005556,1.11,5.4,1.2,70,90,80,33.00 ,0.46 ,17.07 ,102.45 ,1195.11 ,1.03 ,7.63 ,18.34 ,62.37 ,76.35 ,1,Measurement,"Liu et al., 2022",2014
7157,2014,29.45027778,112.2005556,1.32,8.6,2.27,90,110,100,33.00 ,0.46 ,17.07 ,102.45 ,1195.11 ,1.03 ,7.59 ,13.27 ,66.48 ,75.93 ,1,Measurement,"Liu et al., 2022",2014
7158,2014,29.45027778,112.2005556,1.3,7.8,3.04,110,140,125,33.00 ,0.46 ,17.07 ,102.45 ,1195.11 ,1.03 ,7.57 ,12.54 ,66.04 ,75.70 ,1,Measurement,"Liu et al., 2022",2014
7159,2015,25.87157667,112.7962272,1.05,13.6,1.86,0,13,6.5,228.92 ,0.59 ,18.16 ,118.92 ,1179.00 ,1.21 ,6.25 ,20.12 ,42.86 ,62.53 ,1,Measurement,"Liu et al., 2022",2014
7160,2015,25.87157667,112.7962272,1.31,11.7,1.53,13,23,18,228.92 ,0.59 ,18.16 ,118.92 ,1179.00 ,1.21 ,6.38 ,20.18 ,47.79 ,63.76 ,1,Measurement,"Liu et al., 2022",2014
7161,2015,25.87157667,112.7962272,1.36,8.1,1.87,23,40,31.5,228.92 ,0.59 ,18.16 ,118.92 ,1179.00 ,1.21 ,6.53 ,22.01 ,50.28 ,65.33 ,1,Measurement,"Liu et al., 2022",2014
7162,2015,25.87157667,112.7962272,1.44,7.3,2.1,40,60,50,228.92 ,0.59 ,18.16 ,118.92 ,1179.00 ,1.21 ,6.58 ,24.43 ,45.61 ,65.79 ,1,Measurement,"Liu et al., 2022",2014
7163,2015,25.87157667,112.7962272,1.5,3.99,1.79,60,90,75,228.92 ,0.59 ,18.16 ,118.92 ,1179.00 ,1.21 ,6.55 ,19.34 ,50.29 ,65.47 ,1,Measurement,"Liu et al., 2022",2014
